id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1411472539356827648,1411472539356827648,2021-07-04 07:50:51 +08,2021-07-04,07:50:51,+0800,503504724,syafiqwarith,yessir,,"@SyedSaddiq boleh je bagi bantuan tablet kurang daripada satu minit transaction.  Ni lah jadinya kalau bagi orang tua buat kerja, semua benda nak buat event, semua benda buat slow.",in,[],[],[],0,0,0,[],[],https://twitter.com/syafiqwarith/status/1411472539356827648,False,https://twitter.com/rakyatbersuara4/status/1411294460273520646,0,,,,,,,,[],,,,
1411468327529050116,1411300473882116100,2021-07-04 07:34:07 +08,2021-07-04,07:34:07,+0800,305966615,mukries,Moqrays,,"@SyedSaddiq tak aci, ade timb menteri dpt kawin baru",in,[],[],[],0,0,0,[],[],https://twitter.com/mukries/status/1411468327529050116,False,,0,,,,,,,,"[{'screen_name': 'SyedSaddiq', 'name': 'Syed Saddiq', 'id': '467075090'}]",,,,
1411468293571969024,1411300473882116100,2021-07-04 07:33:59 +08,2021-07-04,07:33:59,+0800,114687922,mimihoneyz,Nur Syamimi Hanis,,"@SyedSaddiq Sbb kami penat. 2020-2021 terbazir begitu saje sbb covid, and no improvement sampai skrg . Apa yg kerajaan buat? 😠   Kes2 lain mcm rakyat tak cukup makan, student tertinggal pelajaran, double standard, kes bunuh diri makin banyak. So apa niii??? We deserve better!",in,[],[],[],0,0,0,[],[],https://twitter.com/MimiHoneyz/status/1411468293571969024,False,,0,,,,,,,,"[{'screen_name': 'SyedSaddiq', 'name': 'Syed Saddiq', 'id': '467075090'}]",,,,
1411467447094308864,1411192450954121219,2021-07-04 07:30:37 +08,2021-07-04,07:30:37,+0800,736811256368136192,nvtashah,TasH #savepalestine🇵🇸,,"@SyedSaddiq tweet ni kalau rt bribu2 kali pun takda masalah let the whole world know manusia mcm ni masih wujud, da tua sikit hari lagi masuk liang lahad jugak!",in,[],[],[],0,0,0,[],[],https://twitter.com/Nvtashah/status/1411467447094308864,False,,0,,,,,,,,"[{'screen_name': 'SyedSaddiq', 'name': 'Syed Saddiq', 'id': '467075090'}]",,,,
1411466901557944324,1411300473882116100,2021-07-04 07:28:27 +08,2021-07-04,07:28:27,+0800,1209478069922103296,darthre09903466,Darth Revan 🇲🇾 🇹🇷,,"@SyedSaddiq sbb dah terlalu lama dinosaur tua tu berkuasa. negara nie dah jadi kotor tiada nampak perubahan yang baik bg semua orang mostly rakyat dari segi pekerjaan,kesihatan,pendidikan, dan ekonomi.",in,[],[],[],0,0,0,[],[],https://twitter.com/DarthRe09903466/status/1411466901557944324,False,,0,,,,,,,,"[{'screen_name': 'SyedSaddiq', 'name': 'Syed Saddiq', 'id': '467075090'}]",,,,
1411466873758093313,1411300473882116100,2021-07-04 07:28:21 +08,2021-07-04,07:28:21,+0800,705168417444114432,pkwalkstheworld,phaikkee,,"@SyedSaddiq Dictatorship. It shows when the government tried not to let 18 years old voting, with unreasonable reasons. As though rakyat bodoh",en,[],[],[],0,0,0,[],[],https://twitter.com/pkwalkstheworld/status/1411466873758093313,False,,0,,,,,,,,"[{'screen_name': 'SyedSaddiq', 'name': 'Syed Saddiq', 'id': '467075090'}]",,,,
1411465904102182915,1411300473882116100,2021-07-04 07:24:29 +08,2021-07-04,07:24:29,+0800,1399948433717268483,haha00317837,Haha,,@SyedSaddiq Woi syed saddiq PH dulu pun celakalah. Ko takyah nak acah baguslah. Dulu korang duk sedap bising takde duit takde duit. Pastu airport tak tutup. Kau buat apa masa tu? Ada defend rakyat? Buto kaulah,in,[],[],[],0,0,0,[],[],https://twitter.com/Haha00317837/status/1411465904102182915,False,,0,,,,,,,,"[{'screen_name': 'SyedSaddiq', 'name': 'Syed Saddiq', 'id': '467075090'}]",,,,
1411465268006514690,1411220411442860037,2021-07-04 07:21:58 +08,2021-07-04,07:21:58,+0800,4774374512,aikram75,Ikhy,,@SyedSaddiq Assalammualaikum   Mohon retweet untuk kelangsungan hidup di kala PKPD  Saya nak share yg Penapis Udara Coway ada PROMO sekarang.  Klik Coway Mall link ini terus order Penapis Udara Coway anda   https://t.co/8ZNUSAtpT1  https://t.co/2nyF93v6r1,in,[],['http://emall.coway.com.my/?agentcode=506999'],['https://pbs.twimg.com/media/E5aILbCVIAEmSM1.jpg'],0,0,0,[],[],https://twitter.com/AIkram75/status/1411465268006514690,False,,1,https://pbs.twimg.com/media/E5aILbCVIAEmSM1.jpg,,,,,,,"[{'screen_name': 'SyedSaddiq', 'name': 'Syed Saddiq', 'id': '467075090'}]",,,,
1411465266429497349,1411300473882116100,2021-07-04 07:21:57 +08,2021-07-04,07:21:57,+0800,1212748549835739139,noahbukhari28,Sarah28,,@SyedSaddiq -kes tak turun. Kami harap buat PKP macam 1.0 tapi lain pulak kerajaan buat. Lama sangat kena kurung. Nak jumpa orang tua/pasangan sendiri pun susah. -ramai sgt hilang kerja. Mati bunuh diri. Kerajaan tak nampak ke? Yang disebut rugi 1billion 1 hari -double standard ketara sangat,in,[],[],[],0,0,0,[],[],https://twitter.com/NoahBukhari28/status/1411465266429497349,False,,0,,,,,,,,"[{'screen_name': 'SyedSaddiq', 'name': 'Syed Saddiq', 'id': '467075090'}]",,,,
1411464411324116996,1411300473882116100,2021-07-04 07:18:34 +08,2021-07-04,07:18:34,+0800,48667411,3da_nash,MayUGetWhatUDeserved,,"@SyedSaddiq THIS. @anwaribrahim has been doing it for years n every time he's succeeded or nearly succeed, someone simply just swooped in n claim victory. I sincerely hope u're not another someone who'd do that. #LAWAN #AnwarForPM - gv ur support openly. Tq.   https://t.co/GLIr4RQQj0",en,"[{'screen_name': 'anwaribrahim', 'name': 'anwar ibrahim', 'id': '1839871'}]",['https://twitter.com/RashidYusoff11/status/1411239961014067200?s=19'],[],0,0,3,"['lawan', 'anwarforpm']",[],https://twitter.com/3da_nash/status/1411464411324116996,False,https://twitter.com/RashidYusoff11/status/1411239961014067200?s=19,0,,,,,,,,"[{'screen_name': 'SyedSaddiq', 'name': 'Syed Saddiq', 'id': '467075090'}]",,,,
